name,статус,причина,пар_ss,пар_base,пар_xdate,пар_карантин,вердикт_аудита,km2,res,bands,crs,lon,lat
6882f6042543a07e3f14d8e6,не годен по паспорту,площадь 0.09 км² меньше 0.5,0,0,0,0,,0.092,0.0409,3,EPSG:32616,,
6886bacd20cfbaea039c39ad,не годен по паспорту,площадь 0.08 км² меньше 0.5,0,0,0,0,,0.079,0.05,3,EPSG:32619,,
6886bcbe20cfbaea039c3a88,не годен по паспорту,площадь 0.26 км² меньше 0.5,0,0,0,0,,0.257,0.05,3,EPSG:32619,,
68881cda272c578052a0b153,не годен по паспорту,площадь 0.14 км² меньше 0.5,0,0,0,0,,0.141,0.0248,3,EPSG:32616,,
6888e945e2874a09097484da,использован частично,подложка: узлов привязки 4 меньше 5,1,0,0,0,,0.731,0.027,3,EPSG:32615,-95.011194,33.669246
688a787d7249587b12b3bd90,использован полностью,,5,10,0,0,разметка подтверждена,4.45,0.0333,3,EPSG:32615,-95.105207,33.625328
688b6d381f36a36e4dc4eb6d,использован частично,подложка: привязка не построена: нет валидных узлов,3,0,0,0,,0.699,0.0417,3,EPSG:32618,,
68900d83a95d4b4f7d42ba6b,использован полностью,,4,8,0,0,разметка подтверждена,1.162,0.0359,3,EPSG:32614,,
68917a624c782f9c3fbde514,использован полностью,,2,4,0,0,разметка подтверждена,1.164,0.0373,3,EPSG:32614,,
68930fdd30644ba65a80100a,не годен по паспорту,разрешение 0.11 м/пкс грубее 0.1,0,0,0,0,,12.252,0.1121,3,EPSG:32722,-51.663604,-30.721166
68935f8572118d558aa0b61a,использован частично,подложка: узлов привязки 1 меньше 5,3,0,0,0,,2.384,0.04,1,EPSG:32719,-68.126196,-16.546765
6893c359e910ae14ec506a9c,использован полностью,,1,2,0,0,разметка подтверждена,0.55,0.018,3,EPSG:32615,-95.03505,33.670998
6893ceb7e910ae14ec5076da,не годен по паспорту,разрешение 0.13 м/пкс грубее 0.1,0,0,0,0,,0.968,0.1307,3,EPSG:32722,-51.656438,-30.715903
6896a23c4c41cdb5244a3bfb,использован полностью,,1,2,0,0,разметка подтверждена,0.878,0.0348,3,EPSG:32614,,
68980fd2bbd37f30ca80e0ed,использован частично,подложка: привязка не построена: нет валидных узлов,2,0,0,0,,0.588,0.05,3,EPSG:32618,,
6898122bbbd37f30ca80e43c,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
689901f6c9f3d118a9cf661e,не годен по паспорту,площадь 0.08 км² меньше 0.5,0,0,0,0,,0.08,0.02,3,EPSG:32619,,
689bf534b7cce64034769fa4,использован частично,подложка: узлов привязки 1 меньше 5,6,0,0,0,,2.46,0.0273,3,EPSG:32615,-95.012466,33.874416
689df54fdd0494580981ea98,не годен по паспорту,площадь 0.34 км² меньше 0.5,0,0,0,0,,0.341,0.0352,3,EPSG:31985,-35.269285,-9.115426
689f2a597ed99649ec7f2824,использован частично,подложка: узлов привязки 3 меньше 5,2,0,0,0,,0.708,0.0594,3,EPSG:31985,-35.529966,-9.452075
